state,state_id,election_lead,DEM_votes,REP_votes,dem_votes_%,rep_votes_%,TotalPop,percentageMen,percentageWomen,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Income,Poverty,ChildPoverty,Unemployment
Alabama,1,0.370328921,843473,1434159,37.03289206,62.96710794,4850771,48.46252276,51.53747724,2350806,2499965,4.090537999,65.92589914,26.39489551,0.468074766,1.271647889,0.019179961,25746.34135,46545,17.97409331,25.94420363,7.552098357
Alaska,2,0.444052937,143037,179080,44.40529373,55.59470627,738565,52.30670286,47.69329714,386319,352246,6.812066372,61.54383406,3.025471556,13.76259138,6.061670808,1.171834571,35064.42343,76250,10.17622498,13.5328529,8.00687712
Arizona,4,0.501556364,1672054,1661677,50.15563643,49.84436357,6809946,49.70751604,50.29248396,3385055,3424891,30.88794457,55.58815719,4.069675325,3.88824744,3.059984749,0.174515378,27963.44516,58580,16.95227486,23.99227471,7.209409076
Arkansas,5,0.356075591,419258,758183,35.6075591,64.3924409,2977944,49.08255494,50.91744506,1461651,1516293,7.166489733,73.00749228,15.35778453,0.57280429,1.412328204,0.227613279,24426.21872,43504,18.17828905,25.8375043,6.361165724
California,6,0.651702732,10760110,5750654,65.17027316,34.82972684,38982847,49.67974504,50.32025496,19366579,19616268,38.75121655,37.90961731,5.547530035,0.356282585,13.92940391,0.346742974,33127.86598,61015,15.11811448,20.24203973,7.768741716
Colorado,8,0.569398425,1803873,1364160,56.93984248,43.06015752,5436519,50.24014447,49.75985553,2731315,2705204,21.28720426,68.6498065,3.873329386,0.525543238,2.967553944,0.151255335,34845.2695,64980,11.54331211,14.71261651,5.353001654
Connecticut,9,0.759962691,106736,33713,75.99626911,24.00373089,3430368,48.7941527,51.2058473,1673819,1756549,15.79877695,67.23905219,9.992411281,0.123753078,4.361071319,0,41254.13968,69936,10.21309635,13.75722036,7.35987034
Delaware,10,0.596267442,296268,200603,59.62674416,40.37325584,943732,48.41162533,51.58837467,456876,486856,8.994927373,63.01637266,21.3591668,0.319067913,3.816915819,0,32625.37134,68336,12.12465552,17.47784456,6.445332573
District of Columbia,11,0.944161236,307265,18172,94.41612355,5.583876449,672391,47.44947508,52.55052492,319046,353345,10.7,36,46.9,0.2,3.7,0,50832,77649,17.4,25.5,8
Florida,12,0.483000419,5294767,5667474,48.30004193,51.69995807,20278447,48.89112564,51.10887436,9914361,10364086,24.74779052,54.86362335,15.42325517,0.213137254,2.633062941,0.039641744,28773.66301,51296,15.49154157,22.24915428,7.219904281
